nickname,ra,dec,z_frb,survey,engine,in_footprint,queried,raw_count,with_z_count,foreground_count,status
Mahi,02h39m03.96s,+71d01m04.3s,1.0,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),False,True,0,0,0,no_footprint
Mahi,02h39m03.96s,+71d01m04.3s,1.0,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,262222,0,0,catalog_hits
Mahi,02h39m03.96s,+71d01m04.3s,1.0,CLUSTERS,ClusterEngine,True,True,0,0,0,footprint_empty
Chromatica,20h50m28.59s,+73d54m00.0s,0.074,NED,NedTapEngine,True,True,24,16,0,catalog_hits
Chromatica,20h50m28.59s,+73d54m00.0s,0.074,GLADE+,VizierEngine(GLADE+),True,True,296,257,0,catalog_hits
Chromatica,20h50m28.59s,+73d54m00.0s,0.074,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),False,True,0,0,0,no_footprint
Chromatica,20h50m28.59s,+73d54m00.0s,0.074,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,186117,0,0,catalog_hits
Chromatica,20h50m28.59s,+73d54m00.0s,0.074,CLUSTERS,ClusterEngine,True,True,0,0,0,footprint_empty
Casey,11h19m56.05s,+70d40m34.4s,0.287,NED,NedTapEngine,True,True,74,37,4,foreground
Casey,11h19m56.05s,+70d40m34.4s,0.287,GLADE+,VizierEngine(GLADE+),True,True,10487,10298,0,catalog_hits
Casey,11h19m56.05s,+70d40m34.4s,0.287,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),True,True,709526,709526,1,foreground
Casey,11h19m56.05s,+70d40m34.4s,0.287,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,54645,0,0,catalog_hits
Casey,11h19m56.05s,+70d40m34.4s,0.287,CLUSTERS,ClusterEngine,True,True,1,1,0,catalog_hits
Johndoeii,22h23m53.94s,+73d01m33.26s,1.0,NED,NedTapEngine,True,True,26,19,0,catalog_hits
Johndoeii,22h23m53.94s,+73d01m33.26s,1.0,GLADE+,VizierEngine(GLADE+),True,True,236,185,0,catalog_hits
Johndoeii,22h23m53.94s,+73d01m33.26s,1.0,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),False,True,0,0,0,no_footprint
Johndoeii,22h23m53.94s,+73d01m33.26s,1.0,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,74409,0,0,catalog_hits
Johndoeii,22h23m53.94s,+73d01m33.26s,1.0,CLUSTERS,ClusterEngine,True,True,0,0,0,footprint_empty
